0;13;712;5;
1;23;2258;16;
2;9;427;19;
3;12;1;9;
4;7;0;21;
5;12;0;11;
6;12;0;10;
7;10;0;8;
8;16;0;12;
9;14;0;26;
10;24;0;14;
11;15;0;15;
12;15;0;14;
13;13;0;14;
14;12;0;10;
15;11;0;21;
16;15;0;10;
17;16;0;12;
18;18;0;12;
19;9;0;10;
20;15;0;9;
21;11;0;24;
22;10;0;11;
23;18;0;15;
24;14;0;15;
25;9;0;13;
26;4;0;10;
27;21;0;14;
28;20;0;14;
29;16;0;12;
30;17;0;11;
31;12;0;17;
32;15;0;10;
33;21;0;14;
34;11;0;17;
35;12;0;12;
36;18;0;14;
37;12;0;13;
38;9;0;6;
39;8;0;4;
40;13;0;13;
41;16;0;5;
42;17;0;9;
43;16;0;12;
44;15;0;7;
45;18;0;9;
46;13;0;11;
47;7;0;6;
48;13;0;18;
49;12;0;17;
50;15;0;13;
51;12;0;9;
52;16;0;9;
53;18;0;18;
54;16;0;9;
55;21;0;25;
56;17;0;14;
57;11;0;25;
58;16;0;12;
59;5;0;12;
60;14;0;12;
61;13;0;14;
62;16;0;9;
63;15;0;8;
64;11;0;31;
65;14;0;9;
66;10;0;8;
67;15;0;18;
68;12;0;21;
69;15;0;16;
70;16;0;11;
71;11;0;15;
72;15;0;9;
73;13;0;11;
74;21;0;23;
75;6;0;7;
76;11;0;15;
77;10;0;9;
78;9;0;20;
79;14;0;8;
80;16;0;21;
81;12;0;7;
82;10;0;12;
83;11;0;11;
84;9;0;8;
85;11;0;10;
86;12;0;10;
87;4;0;14;
88;22;0;5;
89;11;0;12;
90;11;0;10;
91;10;0;7;
92;12;0;6;
93;16;0;10;
94;15;0;7;
95;14;0;11;
96;15;0;10;
97;13;0;16;
98;14;0;6;
99;8;0;4;
100;11;0;14;
101;13;0;15;
102;18;0;7;
103;17;0;10;
104;13;0;11;
105;11;0;19;
106;14;0;4;
107;7;0;14;
108;7;0;11;
109;14;0;9;
110;12;0;11;
111;16;0;12;
112;11;0;24;
113;14;0;9;
114;14;0;8;
115;6;0;10;
116;9;0;61;
117;17;0;17;
118;12;0;9;
119;15;0;8;
120;11;0;22;
121;16;0;12;
122;13;0;13;
123;16;0;9;
124;11;0;10;
125;15;0;13;
126;12;0;8;
127;14;0;11;
128;14;0;16;
129;13;0;9;
130;18;0;5;
131;16;0;10;
132;15;0;17;
133;21;0;12;
134;9;0;32;
135;14;0;4;
136;16;0;18;
137;15;0;6;
138;12;0;12;
139;9;0;10;
140;14;0;8;
141;30;0;9;
142;12;0;10;
143;10;0;29;
144;14;0;16;
145;6;0;16;
146;22;0;7;
147;18;0;18;
148;16;0;16;
149;12;0;11;
150;9;0;11;
151;16;0;12;
152;9;0;18;
153;13;0;10;
154;6;0;18;
155;11;0;27;
156;18;0;12;
157;17;0;20;
158;12;0;10;
159;16;0;10;
160;13;0;11;
161;12;0;17;
162;12;0;10;
163;16;0;17;
164;15;0;21;
165;11;0;19;
166;10;0;11;
167;9;0;9;
168;9;0;14;
169;13;0;13;
170;17;0;23;
171;11;0;7;
172;10;0;5;
173;13;0;10;
174;18;0;34;
175;13;0;10;
176;16;0;14;
177;10;0;18;
178;12;0;19;
179;11;0;7;
180;19;0;14;
181;14;0;15;
182;18;0;12;
183;17;0;14;
184;11;0;19;
185;10;0;8;
186;11;0;7;
187;14;0;11;
188;12;0;13;
189;10;0;8;
190;13;0;19;
191;11;0;11;
192;22;0;15;
193;13;0;13;
194;13;0;8;
195;11;0;24;
196;21;0;6;
197;21;0;9;
198;18;0;15;
199;26;0;14;
200;6;0;15;
201;13;0;13;
202;18;0;19;
203;8;0;31;
204;9;0;13;
205;8;0;9;
206;6;0;13;
207;14;0;18;
208;8;0;20;
209;16;0;9;
210;10;0;15;
211;18;0;9;
212;9;0;9;
213;11;0;10;
214;10;0;19;
215;18;0;8;
216;16;0;10;
217;9;0;20;
218;18;0;13;
219;8;0;21;
220;18;0;13;
221;8;0;19;
222;10;0;9;
223;18;0;12;
224;16;0;14;
225;15;0;12;
226;10;0;7;
227;10;0;19;
228;13;0;13;
229;21;0;13;
230;7;0;6;
231;16;0;10;
232;10;0;20;
233;18;0;12;
234;9;0;30;
235;9;0;7;
236;11;0;8;
237;8;0;14;
238;10;0;17;
239;10;0;22;
240;6;0;14;
241;15;0;7;
242;14;0;19;
243;11;0;11;
244;21;0;14;
245;14;0;15;
246;7;0;14;
247;11;0;35;
248;15;0;9;
249;21;0;9;
250;17;0;13;
251;10;0;11;
252;16;0;10;
253;10;0;11;
254;17;0;14;
255;12;10;19;
